Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,BF_C_0603_1608Metric,22.5,21.7,270,top
C2,1u,BF_C_0603_1608Metric,27.5,22.5,270,top
C3,0.1u,BF_C_0603_1608Metric,53,20,0,top
J1,Analog,HW4-SMD-2.0-90D,14.5,23,0,top
Q1,ALS-PT19,BF@ALS-PT19_0603_1608Metric,49.5,23,180,top
R1,3.3k,BF_R_0603_1608Metric,46,23,180,top
R2,1k,BF_R_0603_1608Metric,42.5,23,180,top
R3,1k,BF_R_0603_1608Metric,39,23,180,top
R4,1.5k,BF_R_0603_1608Metric,35.5,23,180,top
R5,5.1k,BF_R_0603_1608Metric,32,23,180,top
R6,10k,BF_R_0603_1608Metric,53,23,0,top
SW1,RIGHT,BF@K2-6639SP,48.5,11.5,0,top
SW2,UP,BF@K2-6639SP,39,17,0,top
SW3,DOWN,BF@K2-6639SP,39,6,0,top
SW4,LEFT,BF@K2-6639SP,29.5,11.5,0,top
SW5,SELECT,BF@K2-6639SP,14.5,11.5,0,top
U1,XC6206P332MR,SOT-23,25,22.5,0,top
