Comment,Designator,Footprint,LCSC
1u,"C1,C2",bf:BF_C_0603_1608Metric,C15849
0.1u,C3,bf:BF_C_0603_1608Metric,C14663
Analog,J1,OPL_Connector:HW4-SMD-2.0-90D,
ALS-PT19,Q1,bf:BF@ALS-PT19_0603_1608Metric,C146233
3.3k,R1,bf:BF_R_0603_1608Metric,C22978
1k,"R2,R3",bf:BF_R_0603_1608Metric,C21190
1.5k,R4,bf:BF_R_0603_1608Metric,C22843
5.1k,R5,bf:BF_R_0603_1608Metric,C23186
10k,R6,bf:BF_R_0603_1608Metric,C25804
RIGHT,SW1,bf:BF@K2-6639SP,C83206
UP,SW2,bf:BF@K2-6639SP,C83206
DOWN,SW3,bf:BF@K2-6639SP,C83206
LEFT,SW4,bf:BF@K2-6639SP,C83206
SELECT,SW5,bf:BF@K2-6639SP,C83206
XC6206P332MR,U1,Package_TO_SOT_SMD:SOT-23,C5446
